CustomerID,Age,Gender,Country,Income,ProductQuality,ServiceQuality,PurchaseFrequency,FeedbackScore,LoyaltyLevel,SatisfactionScore
1,56,1,3,83094,5,8,5,1,0,100.0
2,69,1,3,86860,10,2,8,2,1,100.0
3,46,0,4,60173,8,10,18,2,2,100.0
4,32,0,3,73884,7,10,16,1,1,100.0
5,60,1,3,97546,6,4,13,1,0,82.0
6,25,1,1,49364,5,7,19,0,2,80.71
7,38,0,2,39716,10,6,11,0,2,100.0
8,56,0,2,45305,10,10,10,2,1,100.0
9,36,1,1,98001,10,2,12,0,0,100.0
10,40,0,3,85307,6,4,20,0,1,86.48
11,28,0,0,46732,9,3,3,0,1,94.6
12,28,0,1,38742,8,6,13,2,2,81.85
13,41,1,2,30028,8,6,20,2,0,95.99
14,53,0,4,58353,6,8,17,2,0,100.0
15,57,0,2,75657,1,8,15,2,2,100.0
16,41,0,0,59164,1,5,10,2,2,52.34
17,20,0,2,73887,5,4,7,2,2,73.48
18,39,0,1,63522,8,3,8,0,1,86.31
19,19,1,4,88593,5,9,8,0,0,100.0
20,41,0,2,37901,7,5,17,1,1,85.16
21,61,0,1,41595,2,4,11,0,1,69.85
22,47,0,1,95043,7,2,5,0,0,92.23
23,55,0,1,42216,5,6,2,2,1,90.59
24,19,1,4,59536,10,5,7,0,2,99.65
25,38,1,1,48184,3,2,2,1,1,49.73
26,50,1,4,116529,1,5,18,2,2,70.82
27,29,0,0,92619,9,8,15,1,1,100.0
28,39,0,0,102225,10,4,14,1,1,100.0
29,61,1,0,108541,7,1,1,2,2,75.74
30,42,1,1,48768,8,8,16,0,1,100.0
31,66,1,4,95975,10,7,7,2,0,100.0
32,44,1,0,41604,10,9,11,2,0,100.0
33,59,1,3,100739,4,8,18,2,0,100.0
34,45,1,0,119278,3,7,10,0,1,100.0
35,33,0,1,112220,5,7,17,1,2,100.0
36,32,0,3,113282,1,10,4,0,0,100.0
37,64,1,2,65286,6,1,7,1,2,88.16
38,68,0,3,40530,1,6,17,0,0,63.97
39,61,0,2,34580,8,9,9,0,0,100.0
40,69,1,3,75929,5,7,3,1,0,91.94
41,20,1,4,112595,10,5,13,2,1,100.0
42,54,0,3,37897,7,1,20,1,0,72.89
43,68,0,0,87990,4,10,20,0,0,100.0
44,24,0,2,91060,5,6,5,1,2,96.58
45,38,1,2,110598,2,4,2,2,2,63.49
46,26,0,0,40211,7,3,18,0,2,79.86
47,56,1,4,36990,9,5,7,2,2,98.21
48,35,1,3,55680,7,1,3,1,2,46.66
49,21,0,4,54175,4,7,5,1,0,86.36
50,42,1,0,111018,8,3,20,2,1,100.0
51,31,1,3,43211,6,6,11,0,0,81.61
52,67,1,0,114860,6,7,12,0,0,100.0
53,26,0,2,57358,3,4,19,0,2,63.75
54,43,0,2,54191,2,7,18,1,1,94.73
55,19,0,2,99965,3,10,4,0,1,100.0
56,37,1,1,114041,7,8,11,0,2,100.0
57,45,0,1,70385,3,10,16,1,0,100.0
58,64,1,2,55312,7,9,7,1,0,99.01
59,24,0,1,99717,3,9,1,0,2,91.14
60,61,1,1,116849,4,7,16,2,2,100.0
61,25,0,0,39919,5,1,15,1,1,59.41
62,64,0,3,108598,2,5,3,2,1,90.05
63,52,1,2,81699,5,10,17,0,1,100.0
64,31,1,1,56536,10,1,1,0,1,67.19
65,34,0,0,70364,6,1,18,0,1,60.67
66,53,0,0,99149,9,2,8,1,0,87.19
67,67,1,3,115925,10,3,18,0,1,100.0
68,57,0,0,34262,4,9,18,0,1,99.86
69,21,1,4,64450,10,3,4,2,2,100.0
70,19,1,4,75486,5,4,20,1,2,80.11
71,23,1,2,91477,4,3,14,0,2,91.6
72,59,1,3,60308,5,2,6,0,0,76.91
73,21,1,4,43257,1,4,4,1,2,46.58
74,46,1,3,104318,8,10,9,1,0,100.0
75,35,1,2,98548,9,9,10,2,2,100.0
76,43,1,0,90145,3,6,3,2,0,78.7
77,61,1,0,64282,10,1,16,2,0,83.31
78,51,1,0,58514,3,6,17,2,0,87.35
79,27,1,4,47155,9,5,1,0,2,87.48
80,53,1,3,95408,9,8,11,1,0,100.0
81,31,1,4,102144,7,9,2,1,2,91.72
82,48,1,1,84868,5,4,11,1,1,71.21
83,65,1,3,56005,1,8,12,1,1,88.37
84,32,1,2,41451,9,8,1,1,1,100.0
85,25,0,4,65875,6,4,11,1,1,84.12
86,31,0,0,118933,3,1,17,1,0,51.57
87,40,1,0,115896,5,4,9,2,2,79.53
88,57,0,0,98973,9,10,15,2,2,100.0
89,38,0,4,44838,1,7,16,0,0,84.79
90,33,0,4,108700,10,3,1,2,2,100.0
91,62,1,0,69885,1,6,14,2,1,71.42
92,35,1,0,71049,10,2,7,0,2,77.42
93,64,1,0,56243,4,10,6,2,1,100.0
94,41,0,1,65122,6,7,18,2,1,82.91
95,43,0,4,52438,3,8,12,1,1,91.78
96,42,1,0,38297,3,9,6,0,1,81.73
97,62,0,2,87011,4,1,10,2,1,83.53
98,58,0,0,114170,1,9,13,2,1,100.0
99,46,1,4,51814,5,3,2,0,1,62.79
100,32,0,2,48027,8,7,6,0,1,73.83
101,62,0,4,84302,6,6,17,1,0,100.0
102,18,1,4,73911,3,9,13,1,1,87.24
103,42,0,4,42143,4,9,14,0,1,100.0
104,24,1,3,109502,5,4,11,1,1,84.43
105,26,1,2,78192,5,5,11,0,2,85.26
106,41,1,1,92190,2,4,8,2,1,59.89
107,18,1,1,79929,3,9,9,1,0,79.86
108,61,1,3,40839,10,5,8,1,1,90.56
109,25,1,4,110206,8,9,2,2,0,100.0
110,41,1,1,87200,1,8,7,2,0,93.71
111,28,0,2,49631,4,2,19,1,1,79.97
112,68,1,0,112389,2,6,3,2,0,81.08
113,34,0,2,67911,9,7,6,2,1,100.0
114,25,0,4,35065,7,3,13,2,2,78.74
115,52,1,2,72646,6,9,16,2,1,100.0
